Data,Abertura,Máxima,Mínima,Fechamento
2021-07-12,126715,126775,126690,126745
2021-07-12,126660,126720,126560,126720
2021-07-12,126700,126705,126640,126660
2021-07-12,126695,126725,126685,126695
2021-07-12,126670,126715,126655,126695
2021-07-12,126585,126680,126575,126670
2021-07-12,126600,126600,126550,126585
2021-07-12,126565,126625,126560,126600
2021-07-12,126565,126580,126555,126560
2021-07-12,126525,126570,126520,126570
2021-07-12,126515,126530,126490,126520
2021-07-12,126500,126525,126485,126520
2021-07-12,126450,126515,126445,126500
2021-07-12,126435,126470,126420,126455
2021-07-12,126425,126435,126405,126430
2021-07-12,126410,126430,126375,126425
2021-07-12,126390,126420,126380,126410
2021-07-12,126375,126415,126375,126390
2021-07-12,126405,126425,126365,126375
2021-07-12,126430,126440,126395,126410
2021-07-12,126420,126450,126410,126430
2021-07-12,126405,126430,126385,126420
2021-07-12,126405,126425,126385,126405
2021-07-12,126415,126440,126390,126400
2021-07-12,126375,126435,126370,126410
2021-07-12,126385,126400,126340,126375
2021-07-12,126345,126405,126340,126385
2021-07-12,126360,126370,126310,126345
2021-07-12,126365,126370,126335,126365
2021-07-12,126375,126395,126360,126365
2021-07-12,126385,126400,126365,126375
2021-07-12,126365,126405,126360,126385
2021-07-12,126325,126370,126325,126365
2021-07-12,126305,126335,126260,126330
2021-07-12,126320,126365,126295,126300
2021-07-12,126295,126335,126280,126325
2021-07-12,126240,126300,126230,126300
2021-07-12,126225,126270,126220,126240
2021-07-12,126235,126240,126205,126220
2021-07-12,126205,126265,126200,126240
2021-07-12,126255,126255,126200,126210
2021-07-12,126270,126285,126255,126255
2021-07-12,126270,126290,126260,126270
2021-07-12,126275,126305,126255,126270
2021-07-12,126240,126275,126225,126275
2021-07-12,126225,126245,126200,126240
2021-07-12,126235,126240,126215,126225
2021-07-12,126225,126245,126170,126235
2021-07-12,126220,126260,126200,126225
2021-07-12,126175,126220,126160,126220
2021-07-12,126220,126225,126170,126180
2021-07-12,126275,126295,126210,126220
2021-07-12,126230,126285,126225,126270
2021-07-12,126260,126260,126215,126230
2021-07-12,126235,126270,126210,126260
2021-07-12,126270,126290,126215,126240
2021-07-12,126295,126335,126245,126270
2021-07-12,126295,126325,126280,126295
2021-07-12,126265,126320,126250,126295
2021-07-12,126300,126325,126240,126270
2021-07-12,126275,126375,126270,126300
2021-07-12,126310,126330,126265,126275
2021-07-12,126380,126435,126310,126315
2021-07-12,126575,126580,126370,126385
2021-07-12,126720,126825,126525,126575
2021-07-12,126550,126765,126505,126725
2021-07-08,125700,125700,125700,125700
2021-07-08,125780,125800,125725,125725
2021-07-08,125795,125815,125765,125790
2021-07-08,125785,125825,125775,125800
2021-07-08,125780,125825,125750,125795
2021-07-08,125860,125880,125730,125785
2021-07-08,125840,125885,125825,125860
2021-07-08,125800,125840,125785,125840
2021-07-08,125820,125830,125770,125805
2021-07-08,125805,125835,125800,125825
2021-07-08,125810,125835,125790,125805
2021-07-08,125845,125855,125790,125805
2021-07-08,125805,125855,125795,125850
2021-07-08,125810,125820,125790,125805
2021-07-08,125840,125840,125790,125805
2021-07-08,125835,125840,125810,125835
2021-07-08,125830,125840,125815,125835
2021-07-08,125810,125840,125790,125830
2021-07-08,125785,125810,125755,125810
2021-07-08,125805,125820,125785,125790
2021-07-08,125870,125870,125795,125800
2021-07-08,125835,125870,125835,125870
2021-07-08,125815,125875,125815,125835
2021-07-08,125830,125855,125810,125815
2021-07-08,125785,125830,125765,125830
2021-07-08,125835,125840,125770,125785
2021-07-08,125825,125860,125820,125835
2021-07-08,125825,125865,125815,125820
2021-07-08,125835,125850,125800,125825
2021-07-08,125780,125850,125775,125830
2021-07-08,125755,125805,125745,125775
2021-07-08,125730,125755,125705,125755
2021-07-08,125810,125815,125680,125730
2021-07-08,125850,125860,125795,125805
2021-07-08,125840,125870,125835,125850
2021-07-08,125875,125890,125835,125835
2021-07-08,125865,125905,125860,125875
2021-07-08,125850,125880,125815,125870
2021-07-08,125840,125895,125830,125855
2021-07-08,125810,125850,125805,125840
2021-07-08,125785,125830,125765,125805
2021-07-08,125765,125785,125730,125780
2021-07-08,125775,125795,125755,125765
2021-07-08,125725,125780,125725,125775
2021-07-08,125690,125750,125685,125725
2021-07-08,125725,125740,125675,125695
2021-07-08,125760,125765,125705,125730
2021-07-08,125745,125775,125735,125770
2021-07-08,125740,125770,125725,125740
2021-07-08,125785,125820,125725,125735
2021-07-08,125780,125810,125770,125785
2021-07-08,125805,125810,125765,125785
