Time (CAT);Open;High;Low;Close;Volume 
17/04/2014 23:00:00;1.67932;1.68035;1.67741;1.67905;35623.01
20/04/2014 23:00:00;1.67882;1.68185;1.6783;1.67907;32485.81
21/04/2014 23:00:00;1.67905;1.68392;1.67857;1.68235;61498.21
22/04/2014 23:00:00;1.68233;1.68355;1.67626;1.67811;71718.77
23/04/2014 23:00:00;1.6781;1.68061;1.67652;1.68015;64827.28
24/04/2014 23:00:00;1.68017;1.68316;1.67897;1.67959;59875.98
27/04/2014 23:00:00;1.68014;1.68576;1.67773;1.68062;71298.59
28/04/2014 23:00:00;1.6806;1.68466;1.67924;1.6827;64873.74
29/04/2014 23:00:00;1.6827;1.69008;1.6806;1.68729;78751.51
30/04/2014 23:00:00;1.68728;1.69196;1.68695;1.68924;53187.84
01/05/2014 23:00:00;1.68923;1.68949;1.68221;1.68688;76526.26
04/05/2014 23:00:00;1.68745;1.68852;1.68531;1.68664;42836.61
05/05/2014 23:00:00;1.68664;1.69961;1.6866;1.69743;74190.73
06/05/2014 23:00:00;1.69746;1.69859;1.69509;1.69516;65525.77
07/05/2014 23:00:00;1.6952;1.69743;1.69237;1.6932;91828.71
08/05/2014 23:00:00;1.69316;1.69382;1.68321;1.68455;72380.62
11/05/2014 23:00:00;1.6838;1.69029;1.6838;1.68677;57211.98
12/05/2014 23:00:00;1.6868;1.68829;1.68187;1.68245;81474.63
13/05/2014 23:00:00;1.68246;1.68741;1.67534;1.67667;92168.93
14/05/2014 23:00:00;1.67666;1.68058;1.6732;1.67889;96629.06
15/05/2014 23:00:00;1.67888;1.68403;1.67831;1.68072;66893.87
18/05/2014 23:00:00;1.68147;1.68447;1.68052;1.68131;78255.93
19/05/2014 23:00:00;1.6813;1.68639;1.68021;1.6838;76435.37
20/05/2014 23:00:00;1.6838;1.69207;1.68316;1.68988;97406.16
21/05/2014 23:00:00;1.68988;1.69173;1.68514;1.68701;82586.91
22/05/2014 23:00:00;1.68679;1.6875;1.68128;1.68299;76465.24
25/05/2014 23:00:00;1.68308;1.68528;1.68185;1.6841;45976.78
26/05/2014 23:00:00;1.68411;1.6882;1.67825;1.68089;89514.98
27/05/2014 23:00:00;1.68088;1.68154;1.66976;1.671;89532.01
28/05/2014 23:00:00;1.67105;1.67406;1.66928;1.67162;83096.22
29/05/2014 23:00:00;1.67162;1.67773;1.67139;1.67526;84738.37
01/06/2014 23:00:00;1.67634;1.67676;1.67241;1.67455;84911.74
02/06/2014 23:00:00;1.67455;1.6782;1.67305;1.67483;84763.25
03/06/2014 23:00:00;1.67487;1.67686;1.66986;1.67362;93736.66
04/06/2014 23:00:00;1.67364;1.68248;1.67225;1.6819;121708.72
05/06/2014 23:00:00;1.68188;1.68451;1.67807;1.67987;101422.9
08/06/2014 23:00:00;1.68041;1.6832;1.67837;1.68027;81487.81
09/06/2014 23:00:00;1.68026;1.68172;1.67425;1.67558;98768.69
10/06/2014 23:00:00;1.67558;1.68108;1.67379;1.67868;99259.21
11/06/2014 23:00:00;1.67876;1.69302;1.67855;1.69278;115827.19
12/06/2014 23:00:00;1.69278;1.69919;1.69215;1.69632;133055.63
15/06/2014 23:00:00;1.69717;1.70105;1.69592;1.69825;97123.62
16/06/2014 23:00:00;1.69827;1.69891;1.69375;1.69638;97026.57
17/06/2014 23:00:00;1.69638;1.70018;1.69204;1.69931;109326.92
18/06/2014 23:00:00;1.69931;1.70625;1.69744;1.70382;105008
19/06/2014 23:00:00;1.70384;1.70603;1.70029;1.70113;83550.36
22/06/2014 23:00:00;1.70106;1.70493;1.70018;1.70262;88275.33
23/06/2014 23:00:00;1.70268;1.70317;1.69655;1.69848;84226.42
24/06/2014 23:00:00;1.69846;1.70043;1.69522;1.69828;89362.89
25/06/2014 23:00:00;1.69824;1.70397;1.6971;1.70254;90631.89
26/06/2014 23:00:00;1.70254;1.70509;1.70067;1.70325;71899.15
29/06/2014 23:00:00;1.70262;1.71149;1.70084;1.7105;90187.68
30/06/2014 23:00:00;1.71047;1.71657;1.70959;1.71486;92206.3
01/07/2014 23:00:00;1.71486;1.71769;1.71401;1.71646;92521.21
02/07/2014 23:00:00;1.71646;1.71667;1.70989;1.71538;99538.18
03/07/2014 23:00:00;1.71538;1.71791;1.71311;1.71577;69002.29
06/07/2014 23:00:00;1.71675;1.71678;1.71081;1.71275;79984.54
07/07/2014 23:00:00;1.71275;1.71475;1.70851;1.71302;81673.52
08/07/2014 23:00:00;1.71302;1.71609;1.70942;1.71566;96590.58
09/07/2014 23:00:00;1.7156;1.71675;1.71047;1.7131;96852.1
10/07/2014 23:00:00;1.7131;1.71505;1.70936;1.70996;86366.67
13/07/2014 23:00:00;1.71205;1.71437;1.70697;1.70832;84485.82
14/07/2014 23:00:00;1.70833;1.7191;1.70592;1.71426;107894.82
15/07/2014 23:00:00;1.71421;1.71508;1.71124;1.71361;85811.23
16/07/2014 23:00:00;1.71358;1.71437;1.70853;1.70997;93690.32
17/07/2014 23:00:00;1.70997;1.71173;1.70361;1.70842;102796.47
20/07/2014 23:00:00;1.70858;1.70992;1.70556;1.70746;99678.53
21/07/2014 23:00:00;1.70749;1.70829;1.70413;1.7063;102839.34
22/07/2014 23:00:00;1.70629;1.70952;1.7024;1.7043;107009.24
23/07/2014 23:00:00;1.70429;1.70533;1.69662;1.69855;112261.64
24/07/2014 23:00:00;1.69859;1.6998;1.6961;1.69738;101909.51
27/07/2014 23:00:00;1.69778;1.70006;1.69724;1.69822;100409.59
28/07/2014 23:00:00;1.69819;1.69946;1.69333;1.69427;117516.25
29/07/2014 23:00:00;1.69427;1.69548;1.68893;1.69122;127323.92
30/07/2014 23:00:00;1.6912;1.69263;1.68569;1.68842;135511.78
31/07/2014 23:00:00;1.68842;1.68926;1.6814;1.68225;158212.07
03/08/2014 23:00:00;1.68319;1.68629;1.68136;1.68619;89922.4
04/08/2014 23:00:00;1.68619;1.68882;1.68449;1.6885;99735.14
05/08/2014 23:00:00;1.68852;1.68871;1.68213;1.68525;104703.04
06/08/2014 23:00:00;1.68525;1.68637;1.68231;1.68317;119758.8
07/08/2014 23:00:00;1.68315;1.68333;1.67664;1.6773;126571.66
10/08/2014 23:00:00;1.67774;1.67958;1.67702;1.67861;81273.63
11/08/2014 23:00:00;1.67862;1.68154;1.67569;1.68109;96008.17
12/08/2014 23:00:00;1.68111;1.68434;1.66851;1.6688;127771.52
13/08/2014 23:00:00;1.6688;1.66968;1.66572;1.66852;90702.68
14/08/2014 23:00:00;1.66851;1.67015;1.66764;1.66888;94850.55
17/08/2014 23:00:00;1.6732;1.67373;1.67122;1.67269;76459.01
18/08/2014 23:00:00;1.67268;1.67277;1.66109;1.66163;96935.94
19/08/2014 23:00:00;1.66163;1.66786;1.65896;1.65947;100600.43
20/08/2014 23:00:00;1.65941;1.66011;1.65638;1.6579;79932.35
21/08/2014 23:00:00;1.65786;1.65972;1.65611;1.65669;85272.08
24/08/2014 23:00:00;1.65405;1.65981;1.65355;1.65777;85037.42
25/08/2014 23:00:00;1.65783;1.6595;1.65387;1.6539;85794.44
26/08/2014 23:00:00;1.65396;1.66052;1.65363;1.6575;111372.85
27/08/2014 23:00:00;1.6575;1.66132;1.65669;1.65854;122550.39
28/08/2014 23:00:00;1.65856;1.66133;1.65626;1.65958;128662.12
31/08/2014 23:00:00;1.65916;1.66435;1.65855;1.6606;89773.5
01/09/2014 23:00:00;1.66058;1.66146;1.64676;1.64688;123016.64
02/09/2014 23:00:00;1.64686;1.64972;1.64395;1.64602;123515.34
03/09/2014 23:00:00;1.64601;1.64652;1.63278;1.63306;144160.79
04/09/2014 23:00:00;1.63306;1.63401;1.62806;1.63241;139626.43
07/09/2014 23:00:00;1.61687;1.62323;1.60979;1.61031;203938.63
08/09/2014 23:00:00;1.61031;1.61565;1.60591;1.61056;186444.71
09/09/2014 23:00:00;1.61056;1.623;1.60518;1.62092;217745.8
10/09/2014 23:00:00;1.6209;1.62704;1.61854;1.6253;183816.19
11/09/2014 23:00:00;1.62533;1.62765;1.62044;1.62627;188247.09
14/09/2014 23:00:00;1.62754;1.62783;1.62206;1.6232;176010.47
15/09/2014 23:00:00;1.62319;1.63111;1.61618;1.62767;190214.25
16/09/2014 23:00:00;1.62761;1.63578;1.62483;1.62745;203140.22
17/09/2014 23:00:00;1.62747;1.64087;1.62461;1.63893;223671.82
18/09/2014 23:00:00;1.63877;1.65239;1.62829;1.62855;298635.86
21/09/2014 23:00:00;1.63057;1.63674;1.62876;1.63607;152736.94
22/09/2014 23:00:00;1.63609;1.64152;1.63025;1.6387;175252.97
23/09/2014 23:00:00;1.63872;1.64129;1.6327;1.63386;151975.54
24/09/2014 23:00:00;1.63385;1.63413;1.62758;1.63154;193337.59
25/09/2014 23:00:00;1.63153;1.63322;1.62375;1.62387;119621.54
28/09/2014 23:00:00;1.62304;1.6274;1.62132;1.624;187839.17
29/09/2014 23:00:00;1.624;1.62866;1.61664;1.62119;184626.02
30/09/2014 23:00:00;1.6212;1.62514;1.61613;1.61845;184832.77
01/10/2014 23:00:00;1.61841;1.62496;1.61122;1.61433;224118.58
02/10/2014 23:00:00;1.61433;1.61585;1.59516;1.59675;172172.38
05/10/2014 23:00:00;1.59563;1.60986;1.59535;1.60816;131731.55
